batchsize,matsize,channels_in,poolsize,padding,strides
19,437,16,5,0,1
53,3,2943,3,0,3
58,90,42,2,1,2
57,415,6,2,0,1
17,468,14,2,0,3
3,422,6,4,0,1
15,231,17,1,0,4
27,355,20,5,0,3
49,349,4,2,1,1
16,231,34,6,0,4
43,310,12,4,0,1
59,440,12,3,0,3
33,85,23,2,0,3
4,366,2,3,1,3
42,305,12,6,0,2
18,217,24,3,0,2
7,210,36,6,1,4
33,86,107,1,0,3
55,245,28,2,0,3
51,384,1,1,0,3
26,488,2,5,1,1
23,153,16,1,0,2
2,223,5,7,0,4
56,231,24,4,0,3
5,227,12,2,1,2
45,193,45,4,0,4
18,51,27,1,1,4
30,437,9,6,0,1
7,405,19,4,0,2
2,170,18,6,0,4
43,146,50,6,1,1
62,455,11,3,1,3
57,260,35,4,0,4
24,114,52,3,0,1
43,122,27,1,1,3
22,411,15,4,1,4
58,28,187,4,1,4
19,409,7,1,1,1
34,359,19,7,1,3
34,44,89,6,1,2
35,128,12,6,1,3
18,9,911,3,0,2
29,496,8,2,0,2
55,333,21,6,1,4
14,178,27,2,1,2
34,452,6,1,1,3
61,113,14,2,0,3
17,38,249,7,1,1
54,111,34,2,0,1
13,244,20,5,1,3
35,166,43,6,1,4
43,439,13,4,0,4
28,294,27,4,1,4
62,440,17,3,0,1
56,22,3,6,0,2
44,275,16,6,1,1
25,50,98,1,1,1
13,503,16,7,0,2
38,46,90,1,0,4
3,47,108,1,1,3
7,390,3,1,1,1
62,405,21,6,1,3
14,417,15,6,1,1
14,199,7,1,0,4
45,283,16,3,0,1
15,264,17,6,1,4
45,248,2,3,1,1
54,183,23,5,1,4
17,425,10,2,1,4
40,469,1,5,1,2
61,42,189,1,0,4
2,119,72,5,0,4
59,481,17,7,0,4
63,75,113,2,1,1
20,295,9,4,1,3
17,91,103,5,1,3
36,188,49,4,0,4
46,325,25,3,1,2
31,347,11,7,1,2
18,395,23,2,0,4
28,260,10,1,1,2
43,190,50,4,0,3
3,401,21,5,0,1
50,191,34,1,1,4
36,133,24,3,1,4
63,244,39,1,1,1
29,174,22,4,0,2
51,82,43,2,1,1
57,431,14,1,0,2
34,238,34,7,0,1
35,163,23,7,0,1
57,363,10,5,0,2
52,28,186,2,1,4
35,463,6,2,1,4
43,178,36,4,0,2
26,499,14,7,0,3
42,113,71,4,1,3
36,303,25,3,0,2
49,257,24,6,1,3
47,469,16,2,0,4
44,358,23,3,1,2
54,315,27,2,0,3
10,436,7,6,0,1
58,261,24,5,1,3
46,5,1599,3,0,2
30,1,4761,1,0,3
24,125,55,6,1,1
47,486,16,5,0,2
9,167,23,4,1,2
28,384,5,1,1,3
50,407,12,4,1,1
2,468,8,5,0,1
23,433,4,5,0,1
62,4,855,3,1,1
30,415,12,1,0,1
8,493,1,2,0,3
22,310,14,4,1,4
35,112,39,2,1,1
38,205,42,2,0,2
22,4,759,1,0,1
27,381,3,2,1,4
23,320,20,7,1,2
54,445,11,3,0,4
30,373,16,7,1,4
11,418,8,6,1,4
10,395,16,4,0,1
22,186,40,5,0,1
63,89,2,4,1,3
46,482,8,1,0,2
30,451,9,7,0,3
29,414,5,1,0,1
39,150,45,3,0,2
33,241,13,3,0,2
40,251,10,1,1,1
37,413,19,1,0,4
13,381,1,1,1,4
56,304,29,5,0,3
6,502,9,4,0,2
42,207,14,5,0,3
42,462,11,5,1,1
59,148,59,4,0,1
46,331,6,6,1,3
38,99,64,5,0,3
36,161,50,2,0,4
9,187,25,3,1,1
63,92,40,2,0,3
11,345,10,4,1,3
45,315,30,4,1,4
18,247,35,1,0,1
40,430,21,2,1,2
15,263,34,7,0,2
8,194,11,3,0,3
45,353,24,5,1,1
4,499,6,5,0,4
63,214,3,4,0,4
11,139,56,7,0,4
24,113,70,1,1,4
19,430,3,2,1,1
48,235,36,4,1,3
48,287,2,1,1,4
1,375,19,5,1,4
21,465,1,6,0,1
53,231,18,4,1,1
16,186,24,1,0,3
17,409,12,4,1,4
62,148,28,2,1,4
25,39,67,6,1,4
2,183,35,4,0,1
33,438,3,6,0,4
2,17,208,5,0,1
31,301,14,1,0,4
6,140,10,7,0,1
28,1,8955,1,1,3
26,349,5,4,1,4
50,324,11,3,1,1
12,498,11,3,0,3
8,431,12,4,1,2
51,200,35,7,0,2
53,412,18,2,1,4
63,271,26,3,0,1
17,34,122,2,1,4
53,226,9,7,0,4
19,93,37,7,0,1
26,38,199,2,0,4
54,417,8,5,0,2
28,82,3,4,0,3
17,9,432,6,0,2
20,203,31,6,1,2
6,65,151,1,0,1
58,508,14,6,0,1
55,390,24,2,1,3
59,418,6,5,0,4
51,17,544,7,1,2
16,104,95,1,1,3
43,33,99,4,0,2
14,365,12,3,1,1
5,236,3,1,0,3
56,418,5,2,1,1
6,83,14,5,1,1
5,235,14,6,0,4
22,267,25,7,1,2
18,191,47,5,0,4
31,475,16,5,1,2
9,477,11,4,0,3
20,89,32,5,0,1
33,54,70,3,0,4
13,486,12,4,0,1
63,494,9,1,1,4
51,50,99,4,0,2
56,404,14,1,1,4
10,206,28,7,1,1
45,9,884,7,0,2
15,231,21,2,0,1
40,138,2,3,0,1
50,303,27,3,0,3
43,375,21,2,0,2
42,225,6,5,1,1
52,401,10,7,1,4
31,322,29,4,1,2
29,381,24,1,0,2
43,451,2,6,1,3
42,416,5,4,1,4
41,431,18,6,0,2
54,313,7,3,1,4
10,433,21,1,1,2
29,169,32,3,1,1
3,375,19,2,1,2
59,473,5,1,0,2
22,295,23,4,1,1
58,35,81,7,1,3
63,102,78,6,0,3
36,449,1,5,1,3
21,96,35,2,1,3
2,422,9,4,1,1
60,143,65,7,1,2
44,59,69,1,1,1
11,165,33,7,0,1
40,65,94,6,0,1
7,327,8,4,1,4
15,249,3,7,0,2
28,110,53,2,1,2
30,308,1,5,1,4
26,317,17,4,1,2
60,51,142,5,1,1
2,358,12,5,0,1
24,17,290,2,1,4
10,445,1,1,0,2
46,20,161,4,0,4
30,132,9,5,1,4
39,494,4,2,0,4
38,151,36,1,1,2
8,251,37,5,0,2
64,160,16,3,0,2
51,480,9,2,1,4
21,247,29,1,0,1
52,11,630,2,1,1
64,441,16,4,0,4
48,32,303,6,1,3
40,153,12,4,0,1
9,93,100,3,1,3
2,342,27,2,0,4
44,109,36,1,1,1
45,458,14,5,1,4
23,307,5,6,1,3
28,432,8,3,0,3
7,393,7,7,0,3
45,343,24,4,1,1
24,503,17,4,0,3
42,360,19,4,1,2
7,21,129,6,0,3
1,292,6,6,1,4
34,224,35,7,0,4
35,280,32,3,1,1
41,399,8,4,0,1
32,270,35,4,1,3
53,124,77,6,1,4
62,135,62,5,0,2
51,58,142,6,1,1
21,146,17,7,0,2
45,511,9,7,1,3
58,57,95,3,0,2
57,202,16,5,1,1
46,66,4,1,0,3
23,456,5,1,0,1
37,74,101,5,0,4
42,76,1,3,1,3
43,229,19,7,0,3
30,171,46,7,1,2
7,270,8,1,0,4
23,52,33,4,0,4
46,392,12,6,0,3
34,489,9,7,0,2
2,140,10,6,0,3
35,381,11,6,1,2
49,510,18,3,1,4
22,166,18,5,0,1
43,369,20,3,1,1
14,334,1,1,0,1
42,445,3,6,1,1
19,452,16,3,1,4
25,114,77,3,0,4
6,279,9,5,1,4
19,319,9,1,1,3
49,82,110,7,1,2
53,107,65,1,0,3
33,23,315,4,0,1
53,496,17,3,1,2
24,29,276,1,0,3
3,367,18,3,0,2
64,104,65,4,0,2
30,246,11,7,0,4
2,104,11,7,0,3
60,28,104,4,1,2
40,227,37,3,0,3
48,148,18,1,1,3
3,491,18,2,0,2
55,103,31,7,1,1
5,509,11,6,0,4
18,39,254,1,1,3
56,233,3,7,0,4
36,505,3,2,0,4
39,393,22,4,0,4
29,202,7,2,1,3
59,203,42,7,0,3
40,372,14,3,0,4
56,284,4,7,0,4
60,350,10,3,1,4
38,497,17,6,0,4
58,180,1,3,1,1
58,397,7,2,0,1
29,60,33,5,0,1
46,244,5,4,1,2
8,497,7,6,1,4
51,500,1,4,0,1
55,483,6,3,1,2
38,360,11,6,1,4
6,241,10,3,0,3
53,109,8,6,0,1
6,393,23,3,1,3
37,151,10,1,1,2
50,180,43,5,1,2
56,510,9,4,1,3
3,183,43,7,1,3
51,156,35,1,0,3
33,305,5,7,0,3
40,220,41,1,1,2
64,316,24,1,1,1
26,206,33,5,1,1
64,191,25,4,0,4
25,423,21,5,0,4
22,245,32,1,0,4
6,341,1,7,1,4
24,302,1,3,1,4
62,245,38,4,0,2
40,170,6,7,1,2
40,147,1,4,1,2
52,7,1145,1,0,1
38,68,95,1,0,3
9,485,19,5,1,3
10,403,23,3,1,2
26,193,47,5,1,2
35,185,43,6,0,3
8,206,47,3,1,2
7,170,13,1,0,4
33,237,19,3,0,1
62,332,15,7,0,3
36,459,19,4,0,3
32,17,103,3,1,1
52,72,57,3,0,4
46,198,45,7,1,1
6,136,21,4,0,2
40,59,48,7,0,1
58,144,11,3,0,3
55,256,1,3,0,2
40,363,17,7,1,4
28,162,47,5,1,1
54,334,3,1,0,2
11,129,27,2,1,1
8,264,31,6,0,1
51,363,23,7,1,2
11,455,1,4,0,2
26,488,15,1,1,4
12,488,3,7,1,2
20,359,12,6,0,2
1,395,24,3,1,1
42,357,3,7,0,3
33,327,25,6,1,4
33,167,35,6,1,2
34,151,4,2,0,2
2,452,15,4,1,2
25,335,2,3,0,3
15,124,2,6,1,4
19,487,3,1,0,2
4,397,13,1,0,1
14,200,12,2,0,4
43,241,30,1,0,2
14,192,8,1,0,3
15,157,24,6,0,1
23,371,1,2,0,2
62,362,16,2,1,2
59,327,24,3,1,2
29,98,3,5,1,3
31,473,2,6,0,1
33,290,4,4,0,4
25,438,13,3,1,1
8,302,29,1,0,2
4,30,162,1,0,1
37,348,15,7,0,2
1,82,88,5,0,1
34,376,18,3,0,4
58,297,21,4,0,3
63,247,24,3,1,2
33,315,3,4,1,1
38,276,22,1,1,2
56,89,110,3,0,2
11,264,17,4,0,1
4,3,2085,1,1,4
5,24,278,3,1,3
39,155,16,1,0,2
38,438,5,7,0,1
36,348,8,6,0,1
39,45,8,7,0,2
57,247,31,7,0,2
33,363,7,7,1,4
22,152,8,3,0,2
40,407,6,3,1,4
17,96,96,5,0,2
5,91,1,4,0,1
58,396,16,2,0,3
51,363,23,4,0,4
20,66,37,5,1,3
42,502,11,3,0,1
32,486,6,3,1,4
28,343,15,1,0,2
38,416,15,1,1,3
10,334,20,2,0,3
59,6,891,4,1,2
47,404,15,6,1,2
16,297,8,6,0,4
62,20,405,1,1,2
9,149,57,5,0,3
7,102,20,1,1,1
34,216,22,4,1,3
55,428,15,4,1,1
41,508,5,3,1,2
45,449,10,7,0,3
3,321,21,3,1,3
14,360,19,2,1,1
27,157,11,1,0,2
50,106,68,1,1,2
29,92,44,6,0,1
50,176,30,3,1,2
27,345,13,5,0,4
13,344,23,7,0,1
41,420,3,7,0,1
55,490,9,1,1,4
22,307,17,7,0,2
32,256,4,1,0,2
24,220,5,5,1,4
22,46,38,3,1,1
2,92,18,6,1,2
18,251,18,7,0,1
7,365,8,5,1,4
22,200,33,7,1,2
37,93,33,7,0,1
17,215,20,5,1,2
12,493,19,6,0,3
33,434,20,4,1,2
62,92,35,6,0,2
34,44,145,6,1,3
17,275,9,7,0,2
20,85,30,1,1,3
64,41,235,6,0,1
39,467,4,1,1,3
4,228,22,1,1,3
35,132,13,2,0,1
27,218,43,1,1,2
63,249,22,4,1,3
52,434,10,4,0,4
6,150,40,5,1,3
47,290,17,7,1,2
41,442,8,1,1,4
38,409,4,3,0,3
37,294,25,3,0,1
30,104,8,2,0,4
26,100,13,6,0,3
37,108,23,1,0,1
57,378,19,5,0,3
64,385,19,3,1,2
11,245,31,2,0,3
13,131,12,3,1,2
53,189,35,1,1,2
31,132,8,4,0,3
26,126,42,6,0,4
28,311,9,5,1,3
11,490,3,3,0,4
42,256,32,1,0,4
14,385,11,5,1,3
14,210,27,4,0,3
40,358,22,4,1,1
14,187,14,7,0,3
44,290,1,6,0,2
38,1,2459,1,1,4
49,134,22,5,1,1
41,399,10,1,1,3
39,142,28,6,0,3
49,482,14,2,1,1
7,344,5,2,1,1
31,278,19,2,1,1
22,41,21,6,1,2
30,157,57,1,0,1
63,379,20,7,0,3
64,215,1,7,1,3
18,200,16,5,0,1
41,433,21,6,1,4
29,496,7,1,1,2
2,298,8,3,0,4
5,116,51,2,1,1
48,453,9,2,1,3
61,84,3,5,1,4
6,19,337,5,0,2
58,367,22,7,1,2
38,249,2,3,1,4
9,282,33,5,0,4
16,260,23,4,0,4
41,223,29,1,1,4
29,483,19,1,0,2
44,128,11,7,1,4
7,148,45,7,1,4
25,173,36,2,0,3
21,404,3,3,1,2
12,60,95,3,1,3
36,347,17,2,1,4
37,90,92,6,1,3
11,16,124,2,0,2
34,389,5,6,0,1
9,453,11,7,0,4
25,260,11,3,1,4
61,144,63,7,1,3
10,205,27,1,1,1
13,486,6,3,0,3
45,269,23,1,0,3
26,36,39,2,0,2
42,64,16,2,0,3
30,210,17,7,1,1
57,92,69,7,1,1
7,500,1,3,1,2
5,308,11,3,1,4
34,10,580,3,0,2
33,61,124,4,0,2
5,483,14,7,0,3
38,58,60,2,1,4
36,358,14,2,1,3
60,293,27,2,1,4
13,166,3,3,0,1
6,76,81,2,1,4
49,393,17,7,0,1
1,399,23,6,1,3
52,266,1,5,1,2
22,403,12,5,0,4
38,373,19,2,0,2
61,55,45,6,1,4
35,475,9,6,1,1
50,389,12,4,0,1
11,474,10,7,1,4
25,111,12,6,0,2
60,418,20,6,0,2
44,216,21,7,0,1
28,177,35,1,0,2
23,172,47,7,1,2
36,117,51,5,1,1
2,388,20,6,1,2
25,327,14,1,1,2
38,105,29,4,0,2
33,424,3,1,0,1
4,253,14,2,0,3
47,493,19,5,1,2
23,387,10,3,1,4
30,161,38,2,1,2
17,417,11,4,1,2
11,441,12,3,1,3
18,95,31,5,1,1
14,321,18,2,0,2
39,449,9,6,0,3
39,49,171,5,1,4
45,394,10,2,0,2
12,301,14,4,1,3
5,485,1,6,1,1
45,473,11,6,1,1
16,464,4,6,0,1
53,402,22,2,0,2
52,336,5,4,1,1
55,456,18,6,0,3
6,451,15,6,1,2
22,183,3,1,1,3
30,486,10,1,0,3
17,41,201,6,1,4
50,385,8,5,1,3
17,372,24,4,1,4
26,77,110,4,1,2
5,325,27,2,1,1
16,61,155,7,0,1
16,73,110,7,1,4
51,335,13,2,1,1
54,375,14,4,0,2
1,36,230,7,0,3
29,483,19,3,1,4
1,339,14,2,0,4
34,310,10,7,0,4
40,356,7,5,0,3
57,70,16,2,0,2
21,376,7,2,0,4
50,327,10,5,1,2
35,146,38,2,0,2
12,426,13,3,0,3
13,430,20,6,0,1
42,242,17,2,1,3
51,343,10,2,0,1
43,307,23,7,1,4
12,394,4,6,1,2
1,403,10,5,1,3
28,335,12,7,1,4
20,206,10,2,1,2
34,432,18,3,0,4
15,407,15,3,1,3
28,215,10,1,1,3
22,230,32,1,1,1
2,452,16,1,1,3
20,310,15,3,0,3
60,427,13,7,0,3
22,267,10,5,1,2
9,278,13,5,1,3
61,24,102,1,1,4
38,407,21,2,0,3
25,370,12,7,1,2
23,34,67,1,0,3
20,165,5,2,1,2
58,491,16,3,1,3
63,12,466,1,0,1
44,163,39,3,0,3
12,299,30,2,0,1
64,7,464,5,1,4
16,17,376,4,0,2
20,55,18,5,0,1
64,332,18,6,1,4
39,112,59,6,1,3
13,55,177,5,0,4
64,312,14,1,0,2
51,227,3,5,0,1
53,361,9,4,1,2
43,181,12,2,0,2
20,165,56,6,0,3
11,166,38,7,0,3
49,505,12,3,1,2
16,28,317,5,0,1
40,38,166,1,1,2
30,240,27,5,1,3
21,219,31,6,0,3
19,314,10,6,0,3
31,203,9,6,1,3
18,329,29,7,1,1
10,384,12,4,0,3
61,64,145,1,0,3
18,277,20,2,1,2
61,156,54,7,1,2
29,230,32,5,0,4
62,111,78,7,0,4
36,472,13,2,0,2
8,15,139,5,0,2
61,1,4490,1,0,3
53,426,19,2,0,3
36,91,105,1,1,3
19,216,4,4,0,3
36,362,21,6,1,1
31,56,117,3,0,4
16,182,5,2,0,4
20,7,1213,2,1,4
12,378,15,2,0,4
12,210,9,3,0,4
21,501,17,1,1,1
40,241,40,2,0,2
54,367,17,1,0,4
50,380,22,6,1,2
4,310,19,1,0,2
8,263,32,6,1,1
9,491,16,2,0,4
34,131,7,3,0,3
26,354,22,2,0,4
22,372,3,3,0,4
52,144,48,4,1,2
4,114,54,6,1,2
61,34,102,3,1,3
4,31,170,3,0,2
9,491,3,2,1,4
19,74,103,1,1,3
9,110,12,4,1,3
55,395,21,7,1,1
8,379,2,1,0,1
7,50,142,1,1,1
53,87,4,2,1,4
54,206,13,5,0,1
29,201,6,2,1,2
26,507,17,7,0,1
8,166,8,1,1,4
26,441,13,6,0,2
4,464,7,3,1,1
39,173,38,3,0,3
29,456,17,7,0,3
59,230,11,5,1,3
48,336,3,1,0,4
20,119,41,7,1,3
33,400,1,3,1,1
38,264,2,6,0,4
31,243,29,6,0,1
50,129,12,2,0,1
12,13,667,7,0,4
38,232,3,5,0,1
26,158,53,6,0,1
5,434,21,6,0,4
53,431,6,2,0,2
57,229,40,5,1,1
48,505,6,3,1,4
47,173,37,4,1,4
61,224,24,1,0,2
13,273,10,4,1,2
32,211,34,3,0,2
11,426,20,3,0,4
39,484,15,4,1,3
9,130,59,3,0,3
60,18,214,7,0,1
11,459,5,7,1,2
9,331,14,3,1,3
16,181,5,5,1,3
30,235,2,7,1,3
54,140,51,5,0,4
40,454,4,6,1,3
39,285,22,6,1,1
32,431,13,2,1,2
45,215,44,5,0,1
12,19,262,6,1,2
4,487,1,4,1,4
31,217,21,4,0,3
43,465,19,5,0,2
10,372,2,4,1,2
21,65,71,6,0,4
41,73,90,1,1,4
11,505,13,3,1,4
59,302,16,3,0,3
51,155,49,2,0,3
19,447,14,3,1,3
19,268,27,7,0,3
35,2,2174,1,1,1
47,207,3,5,1,2
42,40,185,3,1,3
62,469,3,6,1,3
46,198,8,6,1,1
60,311,27,7,1,2
53,253,1,1,1,3
19,61,120,7,1,4
12,295,23,2,0,2
27,238,10,1,1,1
48,222,34,6,0,3
24,320,11,7,0,4
14,193,18,6,1,2
59,11,430,5,1,3
25,378,11,5,1,1
6,92,69,2,0,2
17,270,4,5,1,3
50,40,199,5,0,3
6,322,8,4,1,3
23,433,10,7,0,1
36,124,47,5,1,3
46,95,73,1,0,3
37,458,3,5,1,4
59,82,2,4,0,4
22,148,41,4,0,1
10,430,9,7,1,4
62,315,14,7,1,4
12,337,9,3,1,1
21,100,93,5,1,1
16,324,21,3,0,2
5,110,27,2,1,1
7,258,27,3,1,1
53,208,47,3,0,4
33,209,11,7,0,1
27,337,1,6,0,2
25,466,10,1,0,4
12,449,9,1,1,2
34,28,21,6,0,4
44,130,40,6,0,3
19,301,6,1,1,3
50,118,46,5,0,4
46,395,17,4,0,4
10,340,24,2,0,2
1,508,3,1,0,3
34,171,57,3,1,3
45,365,24,6,0,4
30,339,5,2,0,2
51,162,40,5,0,1
14,393,5,5,0,2
10,99,36,7,1,1
62,464,14,7,1,3
46,311,2,5,0,3
4,23,111,2,0,4
2,301,10,6,1,1
49,7,746,3,1,2
55,323,27,2,0,2
59,426,1,4,0,3
18,136,51,4,1,2
55,349,4,3,0,4
52,215,34,3,0,3
21,476,19,4,1,2
29,439,20,1,0,3
35,45,72,2,0,1
41,340,16,6,0,1
6,342,18,3,1,1
51,85,114,7,0,4
45,49,20,1,1,2
59,264,32,1,1,3
40,405,5,4,1,2
3,279,32,7,0,3
16,304,14,7,1,3
7,333,18,2,1,3
63,144,9,2,1,1
9,59,68,5,0,4
47,175,29,7,1,1
49,338,23,7,0,4
2,75,94,2,0,3
27,426,11,2,1,4
39,258,9,3,1,3
39,113,33,1,1,1
6,354,10,2,1,3
5,286,11,4,1,1
12,153,19,2,0,3
40,356,10,5,1,2
29,205,37,4,1,4
1,173,39,1,0,4
17,23,276,2,1,4
11,245,27,5,1,2
8,364,18,7,1,2
33,6,935,1,1,2
19,377,23,2,0,4
31,180,39,3,0,4
46,1,782,1,1,4
61,383,14,3,1,3
61,71,96,2,1,3
12,308,28,6,0,2
35,279,16,2,1,1
63,254,18,2,0,3
25,229,23,5,1,4
21,157,14,3,0,1
26,85,63,7,1,3
60,186,35,1,1,1
32,154,11,5,0,4
51,36,93,2,1,3
50,388,17,5,1,4
47,276,33,5,1,2
45,286,32,2,1,3
7,40,222,7,1,3
50,414,1,1,1,1
59,486,11,1,1,2
61,238,37,6,1,3
44,143,13,2,1,2
25,389,9,7,0,2
41,215,30,6,1,3
18,257,30,5,1,2
16,499,9,2,0,3
29,260,15,5,1,1
31,192,44,2,1,2
21,449,7,7,0,2
50,285,27,3,0,3
45,362,11,7,1,1
13,193,26,5,1,1
17,160,9,4,0,1
63,201,21,5,0,2
33,61,65,3,1,4
50,362,26,6,1,4
5,92,7,1,1,2
64,243,1,3,1,2
33,217,3,6,1,3
8,424,12,1,1,1
27,22,247,7,0,2
47,38,206,1,1,3
10,498,10,7,1,4
56,508,15,3,1,3
55,456,3,7,1,2
56,488,17,2,0,1
15,25,50,6,1,3
24,86,57,5,1,3
64,122,22,6,1,4
8,449,3,5,0,2
6,344,3,2,0,3
64,458,5,5,1,1
8,391,5,7,0,1
38,113,48,6,1,4
2,363,5,1,0,3
57,482,7,1,0,3
44,498,1,7,0,1
34,395,10,3,1,4
34,214,41,7,1,4
49,51,138,2,1,2
9,83,107,7,0,3
62,365,11,6,0,4
47,374,10,5,0,4
48,408,8,7,0,2
17,336,16,6,0,2
36,53,114,1,0,3
46,372,12,1,1,3
27,196,28,5,0,4
15,86,64,7,1,4
51,215,37,2,1,4
55,114,19,2,0,1
49,324,2,3,1,2
18,389,6,4,0,1
7,48,176,4,0,3
20,101,45,7,1,4
4,506,1,4,0,2
60,243,21,7,1,4
31,176,38,6,0,2
43,34,222,5,0,4
47,10,598,6,0,4
34,505,7,5,0,4
31,115,4,2,0,2
39,163,43,5,1,1
18,390,9,5,0,1
17,500,3,4,0,2
59,298,24,5,1,4
24,500,9,7,1,2
42,358,8,5,0,4
21,498,5,6,1,1
35,492,16,7,1,1
42,107,56,3,0,4
6,330,24,5,0,4
16,329,16,4,0,4
55,327,21,3,0,1
34,451,17,6,0,2
50,129,10,7,1,1
16,148,62,3,0,1
61,158,35,6,0,3
32,204,8,7,0,3
23,471,14,7,0,2
35,349,16,2,1,1
19,202,13,6,0,1
41,260,33,4,1,3
46,95,56,4,1,3
25,297,28,2,0,1
57,379,3,4,0,2
17,248,9,6,0,2
44,217,24,2,1,2
62,444,18,5,1,4
11,177,47,7,1,4
9,489,14,2,0,1
1,501,18,5,0,2
22,495,16,2,0,3
20,419,14,7,0,2
64,233,33,2,1,2
42,43,77,1,0,2
2,476,9,6,0,1
52,188,23,3,0,2
47,117,7,2,1,1
49,210,11,4,0,4
56,509,4,2,0,2
16,180,11,2,0,3
62,464,3,7,0,1
42,83,62,7,1,4
41,90,6,1,0,2
27,482,13,3,1,3
22,21,394,6,1,2
11,444,2,3,1,3
59,175,11,4,1,2
20,173,28,1,1,2
56,423,12,3,1,2
8,98,39,4,1,1
61,111,2,7,1,2
46,470,20,4,0,2
26,40,127,3,1,3
48,446,2,1,0,4
34,73,26,1,1,4
37,424,3,7,1,2
47,271,25,4,1,2
36,248,38,6,1,3
54,119,56,3,1,4
58,156,31,7,1,2
2,420,4,4,0,1
23,420,14,4,0,1
2,434,21,4,1,4
18,33,289,5,1,3
37,266,28,4,0,1
20,475,18,5,1,2
21,352,13,1,0,1
12,75,89,2,0,2
39,221,10,5,0,3
8,460,9,1,1,1
25,147,51,7,0,4
39,357,15,7,0,1
41,488,9,6,1,3
19,382,9,6,1,4
10,44,28,7,1,2
44,410,3,5,0,2
7,435,3,4,1,4
49,471,1,3,0,4
17,276,32,3,1,4
55,303,31,1,0,3
48,318,16,6,0,3
19,398,16,2,0,3
62,508,3,6,1,1
12,94,37,4,0,2
30,206,12,7,0,3
62,370,13,3,0,2
54,87,85,5,1,3
56,218,44,7,1,3
20,260,19,1,0,4
27,58,60,6,0,4
5,460,11,7,1,3
36,84,5,5,1,2
20,77,109,6,0,3
4,298,8,7,1,1
22,298,9,7,1,1
36,444,12,6,0,2
47,485,8,1,1,4
8,144,50,3,1,1
51,317,22,3,0,2
5,10,796,4,0,4
59,403,18,2,0,2
5,11,111,2,0,2
9,66,14,5,0,4
19,355,22,1,0,4
12,494,6,7,0,1
19,445,14,2,0,1
39,399,1,7,0,2
39,165,5,1,1,1
18,139,32,1,0,3
27,290,24,2,1,3
1,308,1,4,1,1
11,314,4,4,1,2
10,264,19,3,1,4
22,305,21,7,1,2
11,350,14,7,1,2
28,267,25,3,0,4
48,172,48,7,1,3
14,463,18,1,1,2
4,213,16,4,0,1
63,351,9,6,1,1
24,162,1,6,1,2
63,42,199,4,1,4
8,303,12,2,0,4
58,405,11,2,0,2
33,290,32,6,1,3
27,367,9,4,0,4
49,442,14,4,1,3
60,429,4,2,0,1
38,460,19,3,0,3
29,296,30,5,0,2
27,102,10,2,0,1
3,44,38,1,1,3
16,309,14,4,0,3
51,267,9,5,0,1
39,450,20,4,0,4
31,108,79,4,1,1
45,182,12,5,1,2
62,74,44,7,1,4
18,177,1,5,1,2
64,290,18,1,0,2
4,353,18,1,1,2
54,364,9,6,0,4
54,124,51,7,0,2
20,372,8,3,1,2
37,101,30,7,1,1
31,408,2,7,1,1
14,282,11,4,0,4
24,145,14,2,1,3
57,159,35,2,1,2
3,394,15,5,1,2
10,358,22,4,0,4
46,123,19,3,0,2
31,204,23,2,1,4
39,159,23,3,0,1
12,491,10,3,0,4
59,6,1123,3,1,4
43,265,8,5,0,4
30,266,33,3,0,2
4,13,308,5,0,4
2,173,21,3,1,4
9,315,18,7,0,3
58,343,10,2,0,2
60,205,27,4,0,3
25,205,33,6,0,1
21,349,25,5,0,3
7,445,15,5,0,1
23,89,73,2,0,4
23,343,22,3,1,2
4,283,32,4,0,2
4,254,18,4,1,4
4,329,2,7,0,3
59,243,8,4,0,1
40,178,8,6,1,3
2,3,3293,1,1,3
9,110,6,7,1,3
6,52,125,3,1,4
43,103,77,5,0,1
28,84,44,1,1,2
33,117,60,1,1,4
45,326,4,3,0,4
27,299,26,2,0,1
49,443,4,4,1,3
55,377,13,7,0,3
14,383,14,3,1,2
20,21,356,2,1,1
44,415,22,3,1,4
7,367,23,7,1,3
5,133,37,2,0,1
45,426,21,7,0,4
55,44,65,2,0,2
3,63,43,1,0,1
49,177,35,3,0,2
58,103,10,4,0,1
2,299,26,6,1,2
1,213,22,6,0,3
54,234,1,4,0,2
64,196,11,5,0,2
8,370,18,6,0,3
48,48,29,5,0,2
17,315,5,7,0,2
44,468,18,7,1,1
34,136,35,4,0,2
39,206,29,2,0,2
21,287,22,1,1,1
26,397,23,5,0,1
2,101,6,7,1,2
41,329,2,1,1,2
59,44,193,2,0,4
62,467,6,2,0,4
27,431,20,4,0,2
3,174,7,3,1,4
63,388,13,6,0,4
57,303,24,5,0,4
11,52,19,3,1,1
13,401,9,6,1,2
60,439,13,4,1,2
28,365,19,6,1,1
8,322,27,6,0,3
29,486,6,7,0,3
2,22,258,7,0,1
52,102,16,6,0,3
42,245,2,2,1,2
60,143,61,5,1,3
21,178,17,3,0,1
37,361,11,2,0,3
5,468,9,3,0,3
43,185,8,1,0,3
8,477,12,5,1,1
47,253,18,3,1,4
31,152,32,7,1,2
37,127,36,7,0,2
19,272,24,7,0,1
49,487,17,6,0,2
22,350,7,1,0,1
1,41,136,6,1,1
5,156,6,6,1,2
33,215,17,5,1,3
46,376,4,3,1,2
21,151,46,6,0,3
8,475,3,1,0,2
